x,y
58.21360826,91.88189151
58.19605369,92.21498865
58.71823072,90.31053209
57.27837287,89.90760672
58.08202049,92.00814501
57.48944777,88.08528556
28.08874132,63.51079443
28.08546821,63.59019695
28.08727305,63.12328281
27.57802522,62.82103866
27.77991911,63.51814752
28.58899981,63.02408057
28.7391415,62.72086389
27.02460324,62.90185886
28.8013367,63.38904039
27.18646384,63.55872965
29.2851466,63.38360583
39.4029453,51.1508572
28.81132844,61.35785406
34.30395791,56.54212591
29.60276098,60.15734672
49.11615686,63.66000062
39.61754583,62.92518796
43.23308466,63.16521872
64.89278794,65.81417676
62.49014932,74.58428961
68.98808443,63.23214731
62.10561863,75.99087076
32.46184674,62.88190292
41.32720065,49.07025127
44.00714993,46.44967378
44.07406069,34.55320389
44.00131524,33.90420735
45.00630045,38.29901955
44.44384061,36.0190833
42.1787134,26.49211948
44.04456562,35.66223828
41.64045402,27.09309542
41.93833001,24.99152298
44.05392751,33.55639249
39.20671933,51.5337157
28.70444923,61.7775254
31.7086629,58.83775437
42.81171147,30.02044842
43.30061489,31.5264262
40.39863291,16.34700838
40.43569158,20.23267068
40.93654667,16.91300484
39.66157367,15.60935558
40.89925918,20.79852895
41.96861683,26.4970726
40.38340582,21.39122552
56.53812645,32.44424547
52.97069128,29.04019669
54.62095259,30.34452445
65.09904439,27.24155756
63.05599091,29.70909567
70.96013623,41.25950129
69.89581924,43.45375927
70.59589286,41.96474387
69.64702143,44.04444502
77.39298249,63.37145906
64.40078719,67.44871845
63.86895983,70.21373883
56.59442132,86.92700622
56.53133729,87.49981107
59.65215837,87.80946159
56.6365087,85.63749556
58.672288,90.07716031
58.22161273,90.41101877
57.91466448,89.95380277
55.31550906,80.25186069
54.57572859,77.53628847
54.41309365,78.22908659
55.0745059,79.81754642
29.43296052,60.80177654
29.42268607,63.06846482
29.00561416,63.39075133
58.46183859,90.26532639
57.99780474,92.15990861
57.54947408,90.74890656
59.52992846,88.32727415
58.24939106,92.12968148
58.02451401,91.69442117
58.38212449,90.55347607
62.56675904,77.74393476
72.17582431,63.12892942
79.47276157,63.40868612
80.35770088,63.29543754
78.75723614,53.33262001
82.54023959,56.54105229
86.43589719,59.79276181
79.48868442,53.65167426
81.53042032,56.02536457
79.18678857,53.23479185
77.89905795,51.82245833
75.13071421,23.37244197
76.05801375,16.38374969
57.61467439,33.82244765
56.17139753,32.11798877
66.2878906,26.11710975
67.88171962,24.23601841
64.0280813,27.67268551
77.49665175,14.94852356
77.63465176,14.46185393
77.86372643,14.61067765
77.33815817,15.89005466
76.18041653,15.91257375
77.25265109,15.15151702
77.41337528,15.22192798
76.7318494,16.21684614
49.47110541,25.06301931
42.47653994,18.33847356
43.59511586,19.99420098
50.33996967,26.47139661
40.74898026,16.18214166
38.38652558,14.58021515
38.40401521,14.45194845
38.76427889,14.36559047
41.47014233,17.27803344
47.15540481,22.37793253
39.58256675,17.64845284
41.74024382,17.82932431
39.31187189,15.64071697
41.67984769,17.74591901
39.08746445,15.12230394
41.48150286,18.04743744
77.60608655,15.16287254
75.98266152,16.30692238
76.94575724,15.85847833
77.54372007,15.25394915
77.58473984,15.83003939
76.82230426,15.59516532
77.34857166,15.77452924
77.57315269,14.78064583
77.97261068,14.95569875
41.52891976,24.91642519
43.7225508,19.0773278
79.32607818,52.90039129
56.66397408,87.94012501
57.82178923,90.69316655
58.2431719,92.10432787
